HDFC BANK LTD - ACCOUNT STATEMENT (CSV EXPORT),,,,,,
Account No: XXXXXXXX9338,,,,,,
Account Name: NEHA DEMO VERMA,,,,,,
Period: 01-Mar-2024 to 31-Mar-2024,,,,,,
,,,,,,
Sl No,Date,Narration,Chq/Ref No,Withdrawal Amt,Deposit Amt,Balance
15,05-Mar-2024,NEFT CR-HDFC0TEST32-ARJUN SAMPLE KUMAR-HDFC20006192866,HDFC20006192866,,11251.61,566145.77
16,05-Mar-2024,IMPS/258330933223/MOB/ANITA MOCK KUMAR,258330933223,,1985.55,568131.32
17,05-Mar-2024,NEFT DR-HDFC0TEST42-AMIT MOCK RAO-HDFC53135292579,HDFC53135292579,34724.09,,533407.23
18,07-Mar-2024,POS/DUMMY BOOKSTORE/407100,407100,998.43,,532408.80
19,07-Mar-2024,POS/TEST MART/865760,865760,4555.97,,527852.83
20,07-Mar-2024,UPI/933347325844/KAVITA FAKE GUPTA/arjunfake59@demobank,933347325844,,2161.49,530014.32
21,07-Mar-2024,NEFT DR-HDFC0TEST38-SUNITA MOCK NAIR-HDFC68744193902,HDFC68744193902,9860.87,,520153.45
22,07-Mar-2024,POS/SAMPLE SUPERMARKET/404356,404356,5869.88,,514283.57
23,09-Mar-2024,POS/TEST MART/578411,578411,6984.49,,507299.08
24,10-Mar-2024,IMPS/558337388900/P2A/MEENA SAMPLE DESAI,558337388900,217.26,,507081.82
25,10-Mar-2024,POS/DEMO FUEL STATION/353821,353821,3545.01,,503536.81
26,11-Mar-2024,INTEREST CREDIT AS PER TARIFF,INT,,356.84,503893.65
27,12-Mar-2024,RTGS DR-HDFC0TEST84-SANJAY SAMPLE PILLAI-HDFC19358343386,HDFC19358343386,399534.71,,104358.94
28,12-Mar-2024,REVERSAL-HDFC68744193902-WRONGLY DEBITED ON 07/03/2024,RVHDFC68744193902,,9860.87,114219.81
29,13-Mar-2024,POS/SAMPLE SUPERMARKET/366707,366707,3086.55,,111133.26
30,13-Mar-2024,UPI/449754629540/PRIYA DEMO PILLAI/nehamock57@sampaytm,449754629540,,4218.59,115351.85
31,13-Mar-2024,IMPS/236797943644/MOB/VIKRAM SYNTH REDDY,236797943644,,792.27,116144.12
32,13-Mar-2024,NEFT DR-HDFC0TEST13-VIKRAM MOCK NAIR-HDFC91535296239,HDFC91535296239,26449.19,,89694.93
33,14-Mar-2024,POS/SAMPLE SUPERMARKET/187706,187706,6780.11,,82914.82
34,14-Mar-2024,UPI/690241282087/AMIT FAKE NAIR/sureshsynth83@demobank,690241282087,4534.82,,78380.00
35,17-Mar-2024,POS/DEMO FUEL STATION/208833,208833,2925.12,,75454.88
36,18-Mar-2024,IMPS/857575231096/P2A/ARJUN MOCK SINGH,857575231096,,1623.87,77078.75
37,18-Mar-2024,UPI/968633756028/SANJAY DEMO RAO/RENT PAYMENT/amitmock48@demobank,968633756028,26200.12,,50878.63
38,19-Mar-2024,NEFT CR-HDFC0TEST61-RAHUL SYNTH GUPTA-HDFC74541003748,HDFC74541003748,,1482.23,52360.86
39,20-Mar-2024,ATM WDL-ATM785656-MOCKVILLE,ATM785656,9500.00,,42860.86
40,20-Mar-2024,UPI/529704735607/ARJUN MOCK SHARMA/arjunfake93@demobank,529704735607,,535.80,43396.66
41,20-Mar-2024,A/C MAINTENANCE CHARGES INCL. GST @18%,CHG,234.16,,43162.50
42,21-Mar-2024,POS/SAMPLE SUPERMARKET/840609,840609,563.31,,42599.19
43,21-Mar-2024,ATM WDL-ATM167785-MOCKVILLE,ATM167785,4300.00,,38299.19
44,22-Mar-2024,POS/TEST MART/130501,130501,2524.89,,35774.30
45,23-Mar-2024,NEFT DR-HDFC0TEST52-MEENA FAKE JOSHI-HDFC57341048666,HDFC57341048666,8308.94,,27465.36
46,23-Mar-2024,ATM WDL-ATM650775-SAMPLE CITY,ATM650775,5000.00,,22465.36
47,24-Mar-2024,ATM WDL-ATM864397-TEST NAGAR,ATM864397,8900.00,,13565.36
48,24-Mar-2024,UPI/694587974314/ARJUN TEST IYER/arjundemo11@oktestbank,694587974314,,3723.41,17288.77
49,24-Mar-2024,UPI/155464473086/AMIT SAMPLE SHARMA/vikramtest60@fakeybl,155464473086,,1857.00,19145.77
50,25-Mar-2024,ATM WDL-ATM937767-DEMO PURAM,ATM937767,1100.00,,18045.77
51,25-Mar-2024,ATM WDL-ATM354164-MOCKVILLE,ATM354164,2000.00,,16045.77
52,26-Mar-2024,ATM WDL-ATM358049-SYNTHTOWN,ATM358049,2100.00,,13945.77
53,27-Mar-2024,POS/DEMO FUEL STATION/192999,192999,3281.60,,10664.17
54,27-Mar-2024,NEFT CR-HDFC0TEST57-GLOBEX MOCK LABS PVT LTD-SALARY-HDFC62340574437,HDFC62340574437,,70569.33,81233.50
55,29-Mar-2024,POS/SYNTH CAFE/410353,410353,7135.21,,74098.29
56,29-Mar-2024,IMPS/401377354613/P2A/SUNITA SYNTH PATEL,401377354613,,511.09,74609.38
57,30-Mar-2024,POS/MOCK PHARMACY/509067,509067,5698.93,,68910.45
58,30-Mar-2024,POS/DUMMY BOOKSTORE/251948,251948,1108.34,,67802.11
59,30-Mar-2024,POS/PLACEHOLDER BAKERY/505088,505088,5444.19,,62357.92
60,31-Mar-2024,UPI/320029040423/MEENA MOCK NAIR/arjunsample53@fakeybl,320029040423,372.37,,61985.55
61,31-Mar-2024,POS/SYNTH CAFE/156455,156455,4597.13,,57388.42
,,,,,,
Closing Balance as on 31-Mar-2024: 57388.42,,,,,,
This is a computer generated statement and does not require a signature.,,,,,,
