KOTAK MAHINDRA BANK - CSV EXPORT,,,,,
Account No: XXXXXXXX4348,,,,,
Account Name: SURESH SAMPLE PATEL,,,,,
Opening Balance: 714267.40,,,,,
,,,,,
Date,Narration,Ref No,Amount,Dr/Cr,Running Balance
08 Apr 2025,ATM WDL-ATM819193-DEMO PURAM,ATM819193,9600.00,Dr,676878.06
08 Apr 2025,UPI/414262440197/ARJUN FAKE MENON/RENT PAYMENT/arjunsample62@demobank,414262440197,29399.69,Dr,647478.37
08 Apr 2025,ATM WDL-ATM921881-DEMO PURAM,ATM921881,1800.00,Dr,645678.37
08 Apr 2025,ATM WDL-ATM334055-SYNTHTOWN,ATM334055,7100.00,Dr,638578.37
08 Apr 2025,POS/MOCK PHARMACY/201783,201783,3778.85,Dr,634799.52
09 Apr 2025,ATM WDL-ATM609985-DEMO PURAM,ATM609985,6500.00,Dr,628299.52
10 Apr 2025,A/C MAINTENANCE CHARGES INCL. GST @18%,CHG,232.74,Dr,628066.78
10 Apr 2025,IMPS/508136276984/MOB/NEHA FAKE KUMAR,508136276984,190.74,Cr,628257.52
10 Apr 2025,UPI/475138550073/VIKRAM SAMPLE VERMA/sureshfake69@oktestbank,475138550073,1649.91,Dr,626607.61
10 Apr 2025,IMPS/648015765365/P2A/VIKRAM SAMPLE VERMA,648015765365,526.49,Dr,626081.12
11 Apr 2025,POS/TEST MART/772177,772177,2278.16,Dr,623802.96
12 Apr 2025,POS/DEMO FUEL STATION/860854,860854,5153.79,Dr,618649.17
12 Apr 2025,ATM WDL-ATM166201-TEST NAGAR,ATM166201,4700.00,Dr,613949.17
12 Apr 2025,ATM WDL-ATM398616-TEST NAGAR,ATM398616,2100.00,Dr,611849.17
12 Apr 2025,POS/TEST MART/566836,566836,7493.49,Dr,604355.68
12 Apr 2025,NEFT CR-KKBK0TEST35-NEHA TEST NAIR-KKBK22041077186,KKBK22041077186,41274.92,Cr,645630.60
12 Apr 2025,UPI/972941692553/KAVITA DEMO PATEL/rahulfake21@fakeybl,972941692553,1678.34,Dr,643952.26
13 Apr 2025,POS/PLACEHOLDER BAKERY/727457,727457,6614.82,Dr,637337.44
13 Apr 2025,POS/DUMMY BOOKSTORE/767237,767237,1312.09,Dr,636025.35
13 Apr 2025,POS/SAMPLE SUPERMARKET/633199,633199,2484.73,Dr,633540.62
13 Apr 2025,UPI/695158115397/SURESH SAMPLE DESAI/vikramsample65@sampaytm,695158115397,1519.21,Cr,635059.83
13 Apr 2025,REVERSAL-201783-WRONGLY DEBITED ON 08/04/2025,RV201783,3778.85,Cr,638838.68
14 Apr 2025,IMPS/998992856930/MOB/SUNITA DEMO SINGH,998992856930,963.34,Dr,637875.34
15 Apr 2025,IMPS/456893099694/MOB/ARJUN SYNTH KUMAR,456893099694,1814.40,Dr,636060.94
16 Apr 2025,NEFT CR-KKBK0TEST70-RAHUL SAMPLE DESAI-KKBK16250626516,KKBK16250626516,24226.86,Cr,660287.80
17 Apr 2025,IMPS/586968629649/P2A/VIKRAM SYNTH REDDY,586968629649,964.37,Cr,661252.17
17 Apr 2025,IMPS/270316778656/P2A/VIKRAM FAKE NAIR,270316778656,762.58,Cr,662014.75
17 Apr 2025,POS/DEMO FUEL STATION/451454,451454,2222.69,Dr,659792.06
18 Apr 2025,INTEREST CREDIT AS PER TARIFF,INT,54.30,Cr,659846.36
19 Apr 2025,POS/MOCK PHARMACY/849300,849300,163.54,Dr,659682.82
19 Apr 2025,ATM WDL-ATM683616-MOCKVILLE,ATM683616,3900.00,Dr,655782.82
19 Apr 2025,POS/PLACEHOLDER BAKERY/581671,581671,2482.14,Dr,653300.68
19 Apr 2025,ATM WDL-ATM560825-SYNTHTOWN,ATM560825,6400.00,Dr,646900.68
19 Apr 2025,IMPS/943656837210/P2A/AMIT TEST GUPTA,943656837210,1630.24,Dr,645270.44
19 Apr 2025,UPI/161164424595/SANJAY SYNTH MENON/priyademo60@mockicici,161164424595,4725.92,Dr,640544.52
19 Apr 2025,NEFT DR-KKBK0TEST22-VIKRAM SYNTH SINGH-KKBK70928164488,KKBK70928164488,11305.62,Dr,629238.90
20 Apr 2025,ATM WDL-ATM558520-TEST NAGAR,ATM558520,3500.00,Dr,625738.90
20 Apr 2025,IMPS/831081754938/MOB/POOJA SYNTH KUMAR,831081754938,1289.92,Dr,624448.98
21 Apr 2025,UPI/659468926026/SANJAY SYNTH PATEL/rahulsample31@mockicici,659468926026,1199.04,Dr,623249.94
21 Apr 2025,UPI/175174463282/ARJUN SYNTH PATEL/sunitafake80@sampaytm,175174463282,2107.83,Cr,625357.77
21 Apr 2025,NEFT CR-KKBK0TEST25-VOID FAKE SOLUTIONS PVT LTD-SALARY-KKBK28250205213,KKBK28250205213,81223.15,Cr,706580.92
21 Apr 2025,POS/MOCK PHARMACY/987692,987692,4286.83,Dr,702294.09
24 Apr 2025,ATM WDL-ATM196389-DEMO PURAM,ATM196389,6100.00,Dr,696194.09
25 Apr 2025,ATM WDL-ATM163890-TEST NAGAR,ATM163890,8500.00,Dr,687694.09
25 Apr 2025,ATM WDL-ATM516424-MOCKVILLE,ATM516424,7700.00,Dr,679994.09
26 Apr 2025,POS/DUMMY BOOKSTORE/631281,631281,4186.91,Dr,675807.18
27 Apr 2025,POS/SAMPLE SUPERMARKET/155117,155117,4011.16,Dr,671796.02
27 Apr 2025,ATM WDL-ATM758558-DEMO PURAM,ATM758558,3700.00,Dr,668096.02
28 Apr 2025,IMPS/238781445593/MOB/SANJAY SYNTH KUMAR,238781445593,1754.14,Dr,666341.88
28 Apr 2025,ATM WDL-ATM356843-DEMO PURAM,ATM356843,2900.00,Dr,663441.88
29 Apr 2025,RTGS DR-KKBK0TEST33-SUNITA MOCK NAIR-KKBK38402233763,KKBK38402233763,639655.94,Dr,23785.94
30 Apr 2025,POS/TEST MART/584082,584082,5843.35,Dr,17942.59
30 Apr 2025,NEFT CR-UTIB0RZP001-RAZORPAY SOFTWARE PVT LTD-KKBK98713260386,KKBK98713260386,62450.10,Cr,80392.69
30 Apr 2025,UPI/816873133560/DEEPAK FAKE PILLAI/nehamock87@sampaytm,816873133560,4523.88,Cr,84916.57
30 Apr 2025,CLOSING BALANCE,,,,84916.57
,,,,,
End of statement. Contains a Razorpay settlement credit.,,,,,
