AXIS BANK - QUICK STATEMENT EXPORT,,,,
Account No: XXXXXXXX2038,,,,
Customer Name: SUNITA FAKE RAO,,,,
Opening Balance: 597086.83,,,,
,,,,
Date,Particulars,Amount,Dr/Cr,Balance
12/01/25,UPI/333214264934/SUNITA SAMPLE NAIR/vikramdemo74@mockicici,783.26,Cr,474101.73
13/01/25,POS/SAMPLE SUPERMARKET/300173,4004.02,Dr,470097.71
13/01/25,UPI/258842244944/RAHUL SYNTH KUMAR/sunitasynth37@testupi,2762.42,Cr,472860.13
14/01/25,REVERSAL-ATM773672-WRONGLY DEBITED ON 10/01/2025,5300.00,Cr,478160.13
15/01/25,NEFT CR-UTIB0TEST49-SANJAY TEST PILLAI-UTIB24098069835,5245.62,Cr,483405.75
15/01/25,POS/SYNTH CAFE/918491,2762.35,Dr,480643.40
16/01/25,NEFT CR-UTIB0TEST85-ANITA SAMPLE GUPTA-UTIB28269430266,1188.55,Cr,481831.95
16/01/25,UPI/706132497452/SUNITA MOCK RAO/sanjaysample15@sampaytm,2524.05,Dr,479307.90
17/01/25,POS/DUMMY BOOKSTORE/626688,2996.04,Dr,476311.86
19/01/25,ATM WDL-ATM157389-SYNTHTOWN,2900.00,Dr,473411.86
20/01/25,POS/PLACEHOLDER BAKERY/437089,2069.79,Dr,471342.07
20/01/25,NEFT CR-UTIB0TEST97-INITECH SAMPLE INDUSTRIES PVT LTD-SALARY-UTIB82740021805,65640.91,Cr,536982.98
21/01/25,ATM WDL-ATM998812-MOCKVILLE,7900.00,Dr,529082.98
21/01/25,IMPS/238982551708/MOB/PRIYA SYNTH NAIR,1431.84,Dr,527651.14
21/01/25,NEFT CR-UTIB0TEST99-AMIT MOCK VERMA-UTIB24173078496,20452.00,Cr,548103.14
22/01/25,IMPS/355393960631/MOB/ARJUN FAKE SINGH,670.78,Dr,547432.36
23/01/25,IMPS/451412732844/MOB/ARJUN SAMPLE PATEL,1660.86,Cr,549093.22
23/01/25,IMPS/354437094041/MOB/RAHUL DEMO RAO,1052.98,Cr,550146.20
23/01/25,NEFT CR-UTIB0TEST49-KAVITA MOCK MENON-UTIB54056941171,18178.08,Cr,568324.28
24/01/25,A/C MAINTENANCE CHARGES INCL. GST @18%,218.10,Dr,568106.18
24/01/25,UPI/807815604162/KAVITA SAMPLE JOSHI/arjunfake92@testupi,3140.97,Dr,564965.21
25/01/25,IMPS/800934539462/MOB/SURESH DEMO NAIR,1742.22,Dr,563222.99
25/01/25,UPI/488878342304/POOJA SAMPLE SHARMA/amitmock32@testupi,3147.56,Cr,566370.55
26/01/25,UPI/519222927366/AMIT TEST REDDY/meenademo78@testupi,499.21,Dr,565871.34
27/01/25,ATM WDL-ATM845891-MOCKVILLE,1000.00,Dr,564871.34
27/01/25,ATM WDL-ATM167595-SYNTHTOWN,4500.00,Dr,560371.34
27/01/25,UPI/923826890871/KAVITA MOCK PATEL/priyademo87@sampaytm,4346.10,Cr,564717.44
27/01/25,RTGS DR-UTIB0TEST83-SANJAY FAKE VERMA-UTIB64689407405,498549.59,Dr,66167.85
27/01/25,POS/FAKE ELECTRONICS/685837,225.96,Dr,65941.89
28/01/25,NEFT DR-UTIB0TEST14-ARJUN TEST PATEL-UTIB22425165683,42822.93,Dr,23118.96
29/01/25,UPI/824338087222/AMIT TEST VERMA/sunitatest15@demobank,1155.88,Cr,24274.84
29/01/25,POS/MOCK PHARMACY/726277,4637.71,Dr,19637.13
30/01/25,UPI/510656882001/VIKRAM SYNTH RAO/kavitademo88@demobank,4499.58,Dr,15137.55
30/01/25,POS/SYNTH CAFE/701955,5026.57,Dr,10110.98
30/01/25,INTEREST CREDIT AS PER TARIFF,158.67,Cr,10269.65
31/01/25,IMPS/721517887519/P2A/DEEPAK DEMO NAIR,1360.32,Dr,8909.33
31/01/25,CLOSING BALANCE,,,8909.33
,,,,
Dr/Cr: single Amount column with Debit/Credit indicator.,,,,
